condition_id,chemistry,temperature_C,soc_min,soc_max,charge_C,discharge_C,replicate_count_metadata,visual_plus_count,digitized_marker_efc,bar_efc_value,cardinality_status,published_class,reference_resolution_status,axis_efc_per_pixel,tau_c,within_marker_spread,a1_power_classification
NMC_0-100_15C_0.5-2C,NMC,15,0,100,0.5,2.0,2,2,170;190,180,EXACT_CARDINALITY_MATCH,MEASURED_PRESENT,RESOLVED,6.0,22.0,20,LOW_POWER
NMC_0-100_25C_0.5-0.5C,NMC,25,0,100,0.5,0.5,2,2,380;500,440,EXACT_CARDINALITY_MATCH,MEASURED_PRESENT,RESOLVED,6.0,22.0,120,HIGH_POWER
NMC_0-100_25C_0.5-1C,NMC,25,0,100,0.5,1.0,4,4,360;400;440;480,420,EXACT_CARDINALITY_MATCH,MEASURED_PRESENT,RESOLVED,6.0,22.0,120,HIGH_POWER
NMC_0-100_25C_0.5-2C,NMC,25,0,100,0.5,2.0,2,2,460;1040,750,EXACT_CARDINALITY_MATCH,MEASURED_PRESENT,RESOLVED,6.0,22.0,580,HIGH_POWER
NMC_0-100_25C_0.5-3C,NMC,25,0,100,0.5,3.0,4,4,590;600;620;630,610,EXACT_CARDINALITY_MATCH,MEASURED_PRESENT,RESOLVED,6.0,22.0,40,MODERATE_POWER
NMC_0-100_35C_0.5-1C,NMC,35,0,100,0.5,1.0,4,4,620;630;650;660,640,EXACT_CARDINALITY_MATCH,MEASURED_PRESENT,RESOLVED,6.0,22.0,40,MODERATE_POWER
NMC_0-100_35C_0.5-2C,NMC,35,0,100,0.5,2.0,2,2,640;660,650,EXACT_CARDINALITY_MATCH,MEASURED_PRESENT,RESOLVED,6.0,22.0,20,LOW_POWER
NCA_40-60_25C_0.5-0.5C,NCA,25,40,60,0.5,0.5,2,2,1300;1600,1450,EXACT_CARDINALITY_MATCH,MEASURED_PRESENT,RESOLVED,6.0,22.0,300,HIGH_POWER
NCA_20-80_25C_0.5-0.5C,NCA,25,20,80,0.5,0.5,4,4,590;620;660;690,640,EXACT_CARDINALITY_MATCH,MEASURED_PRESENT,RESOLVED,6.0,22.0,100,HIGH_POWER
NCA_0-100_15C_0.5-1C,NCA,15,0,100,0.5,1.0,2,2,380;560,470,EXACT_CARDINALITY_MATCH,MEASURED_PRESENT,RESOLVED,6.0,22.0,180,HIGH_POWER
NCA_0-100_15C_0.5-2C,NCA,15,0,100,0.5,2.0,2,2,460;520,490,EXACT_CARDINALITY_MATCH,MEASURED_PRESENT,RESOLVED,6.0,22.0,60,HIGH_POWER
NCA_0-100_25C_0.5-0.5C,NCA,25,0,100,0.5,0.5,2,2,230;250,240,EXACT_CARDINALITY_MATCH,MEASURED_PRESENT,RESOLVED,6.0,22.0,20,LOW_POWER
NCA_0-100_25C_0.5-1C,NCA,25,0,100,0.5,1.0,4,4,410;430;450;470,440,EXACT_CARDINALITY_MATCH,MEASURED_PRESENT,RESOLVED,6.0,22.0,60,HIGH_POWER
NCA_0-100_25C_0.5-2C,NCA,25,0,100,0.5,2.0,2,2,540;580,560,EXACT_CARDINALITY_MATCH,MEASURED_PRESENT,RESOLVED,6.0,22.0,40,MODERATE_POWER
NCA_0-100_35C_0.5-1C,NCA,35,0,100,0.5,1.0,4,4,420;430;450;460,440,EXACT_CARDINALITY_MATCH,MEASURED_PRESENT,RESOLVED,6.0,22.0,40,MODERATE_POWER
NCA_0-100_35C_0.5-2C,NCA,35,0,100,0.5,2.0,2,2,570;610,590,EXACT_CARDINALITY_MATCH,MEASURED_PRESENT,RESOLVED,6.0,22.0,40,MODERATE_POWER
