[2026-09-05T21:42:18.409441+00:00] Fetch failed for cell_id | filename_base | study | cathode | anode | temp_C | soc_range | crate_c | crate_d | cap_ah | form_factor: InvalidURL - URL can't contain control characters. '/data/snl/cell_id | filename_base | study | cathode | anode | temp_C | soc_range | crate_c | crate_d | cap_ah | form_factor_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:21.772677+00:00] Fetch failed for SNL_18650_LFP_25C_0-100_0.5/2C_a | SNL_18650_LFP_25C_0-100_0.5-2C_a | snl | LFP | graphite | 25C | 0-100% | 0.5C | 2C | 1.1Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_LFP_25C_0-100_0.5/2C_a | SNL_18650_LFP_25C_0-100_0.5-2C_a | snl | LFP | graphite | 25C | 0-100% | 0.5C | 2C | 1.1Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:21.973405+00:00] Fetch failed for SNL_18650_LFP_25C_0-100_0.5/2C_b | SNL_18650_LFP_25C_0-100_0.5-2C_b | snl | LFP | graphite | 25C | 0-100% | 0.5C | 2C | 1.1Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_LFP_25C_0-100_0.5/2C_b | SNL_18650_LFP_25C_0-100_0.5-2C_b | snl | LFP | graphite | 25C | 0-100% | 0.5C | 2C | 1.1Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:22.174107+00:00] Fetch failed for SNL_18650_LFP_25C_0-100_0.5/3C_a | SNL_18650_LFP_25C_0-100_0.5-3C_a | snl | LFP | graphite | 25C | 0-100% | 0.5C | 3C | 1.1Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_LFP_25C_0-100_0.5/3C_a | SNL_18650_LFP_25C_0-100_0.5-3C_a | snl | LFP | graphite | 25C | 0-100% | 0.5C | 3C | 1.1Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:22.374582+00:00] Fetch failed for SNL_18650_LFP_25C_0-100_0.5/3C_b | SNL_18650_LFP_25C_0-100_0.5-3C_b | snl | LFP | graphite | 25C | 0-100% | 0.5C | 3C | 1.1Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_LFP_25C_0-100_0.5/3C_b | SNL_18650_LFP_25C_0-100_0.5-3C_b | snl | LFP | graphite | 25C | 0-100% | 0.5C | 3C | 1.1Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:22.575052+00:00] Fetch failed for SNL_18650_LFP_25C_0-100_0.5/3C_c | SNL_18650_LFP_25C_0-100_0.5-3C_c | snl | LFP | graphite | 25C | 0-100% | 0.5C | 3C | 1.1Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_LFP_25C_0-100_0.5/3C_c | SNL_18650_LFP_25C_0-100_0.5-3C_c | snl | LFP | graphite | 25C | 0-100% | 0.5C | 3C | 1.1Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:22.775629+00:00] Fetch failed for SNL_18650_LFP_25C_0-100_0.5/3C_d | SNL_18650_LFP_25C_0-100_0.5-3C_d | snl | LFP | graphite | 25C | 0-100% | 0.5C | 3C | 1.1Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_LFP_25C_0-100_0.5/3C_d | SNL_18650_LFP_25C_0-100_0.5-3C_d | snl | LFP | graphite | 25C | 0-100% | 0.5C | 3C | 1.1Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:22.976319+00:00] Fetch failed for SNL_18650_LFP_25C_20-80_0.5/0.5C_a | SNL_18650_LFP_25C_20-80_0.5-0.5C_a | snl | LFP | graphite | 25C | 20-80% | 0.5C | 0.5C | 1.1Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_LFP_25C_20-80_0.5/0.5C_a | SNL_18650_LFP_25C_20-80_0.5-0.5C_a | snl | LFP | graphite | 25C | 20-80% | 0.5C | 0.5C | 1.1Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:23.177159+00:00] Fetch failed for SNL_18650_LFP_25C_20-80_0.5/0.5C_b | SNL_18650_LFP_25C_20-80_0.5-0.5C_b | snl | LFP | graphite | 25C | 20-80% | 0.5C | 0.5C | 1.1Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_LFP_25C_20-80_0.5/0.5C_b | SNL_18650_LFP_25C_20-80_0.5-0.5C_b | snl | LFP | graphite | 25C | 20-80% | 0.5C | 0.5C | 1.1Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:23.377869+00:00] Fetch failed for SNL_18650_LFP_25C_20-80_0.5/0.5C_c | SNL_18650_LFP_25C_20-80_0.5-0.5C_c | snl | LFP | graphite | 25C | 20-80% | 0.5C | 0.5C | 1.1Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_LFP_25C_20-80_0.5/0.5C_c | SNL_18650_LFP_25C_20-80_0.5-0.5C_c | snl | LFP | graphite | 25C | 20-80% | 0.5C | 0.5C | 1.1Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:23.578769+00:00] Fetch failed for SNL_18650_LFP_25C_20-80_0.5/0.5C_d | SNL_18650_LFP_25C_20-80_0.5-0.5C_d | snl | LFP | graphite | 25C | 20-80% | 0.5C | 0.5C | 1.1Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_LFP_25C_20-80_0.5/0.5C_d | SNL_18650_LFP_25C_20-80_0.5-0.5C_d | snl | LFP | graphite | 25C | 20-80% | 0.5C | 0.5C | 1.1Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:23.779719+00:00] Fetch failed for SNL_18650_LFP_25C_20-80_0.5/3C_a | SNL_18650_LFP_25C_20-80_0.5-3C_a | snl | LFP | graphite | 25C | 20-80% | 0.5C | 3C | 1.1Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_LFP_25C_20-80_0.5/3C_a | SNL_18650_LFP_25C_20-80_0.5-3C_a | snl | LFP | graphite | 25C | 20-80% | 0.5C | 3C | 1.1Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:23.980388+00:00] Fetch failed for SNL_18650_LFP_25C_40-60_0.5/0.5C_a | SNL_18650_LFP_25C_40-60_0.5-0.5C_a | snl | LFP | graphite | 25C | 40-60% | 0.5C | 0.5C | 1.1Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_LFP_25C_40-60_0.5/0.5C_a | SNL_18650_LFP_25C_40-60_0.5-0.5C_a | snl | LFP | graphite | 25C | 40-60% | 0.5C | 0.5C | 1.1Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:24.181177+00:00] Fetch failed for SNL_18650_LFP_25C_40-60_0.5/0.5C_b | SNL_18650_LFP_25C_40-60_0.5-0.5C_b | snl | LFP | graphite | 25C | 40-60% | 0.5C | 0.5C | 1.1Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_LFP_25C_40-60_0.5/0.5C_b | SNL_18650_LFP_25C_40-60_0.5-0.5C_b | snl | LFP | graphite | 25C | 40-60% | 0.5C | 0.5C | 1.1Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:24.381953+00:00] Fetch failed for SNL_18650_LFP_25C_40-60_0.5/3C_a | SNL_18650_LFP_25C_40-60_0.5-3C_a | snl | LFP | graphite | 25C | 40-60% | 0.5C | 3C | 1.1Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_LFP_25C_40-60_0.5/3C_a | SNL_18650_LFP_25C_40-60_0.5-3C_a | snl | LFP | graphite | 25C | 40-60% | 0.5C | 3C | 1.1Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:24.582908+00:00] Fetch failed for SNL_18650_LFP_25C_40-60_0.5/3C_b | SNL_18650_LFP_25C_40-60_0.5-3C_b | snl | LFP | graphite | 25C | 40-60% | 0.5C | 3C | 1.1Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_LFP_25C_40-60_0.5/3C_b | SNL_18650_LFP_25C_40-60_0.5-3C_b | snl | LFP | graphite | 25C | 40-60% | 0.5C | 3C | 1.1Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:24.783918+00:00] Fetch failed for SNL_18650_LFP_35C_0-100_0.5/1C_a | SNL_18650_LFP_35C_0-100_0.5-1C_a | snl | LFP | graphite | 35C | 0-100% | 0.5C | 1C | 1.1Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_LFP_35C_0-100_0.5/1C_a | SNL_18650_LFP_35C_0-100_0.5-1C_a | snl | LFP | graphite | 35C | 0-100% | 0.5C | 1C | 1.1Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:24.984466+00:00] Fetch failed for SNL_18650_LFP_35C_0-100_0.5/1C_b | SNL_18650_LFP_35C_0-100_0.5-1C_b | snl | LFP | graphite | 35C | 0-100% | 0.5C | 1C | 1.1Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_LFP_35C_0-100_0.5/1C_b | SNL_18650_LFP_35C_0-100_0.5-1C_b | snl | LFP | graphite | 35C | 0-100% | 0.5C | 1C | 1.1Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:25.185001+00:00] Fetch failed for SNL_18650_LFP_35C_0-100_0.5/1C_c | SNL_18650_LFP_35C_0-100_0.5-1C_c | snl | LFP | graphite | 35C | 0-100% | 0.5C | 1C | 1.1Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_LFP_35C_0-100_0.5/1C_c | SNL_18650_LFP_35C_0-100_0.5-1C_c | snl | LFP | graphite | 35C | 0-100% | 0.5C | 1C | 1.1Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:25.385883+00:00] Fetch failed for SNL_18650_LFP_35C_0-100_0.5/1C_d | SNL_18650_LFP_35C_0-100_0.5-1C_d | snl | LFP | graphite | 35C | 0-100% | 0.5C | 1C | 1.1Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_LFP_35C_0-100_0.5/1C_d | SNL_18650_LFP_35C_0-100_0.5-1C_d | snl | LFP | graphite | 35C | 0-100% | 0.5C | 1C | 1.1Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:25.586692+00:00] Fetch failed for SNL_18650_LFP_35C_0-100_0.5/2C_a | SNL_18650_LFP_35C_0-100_0.5-2C_a | snl | LFP | graphite | 35C | 0-100% | 0.5C | 2C | 1.1Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_LFP_35C_0-100_0.5/2C_a | SNL_18650_LFP_35C_0-100_0.5-2C_a | snl | LFP | graphite | 35C | 0-100% | 0.5C | 2C | 1.1Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:25.787497+00:00] Fetch failed for SNL_18650_LFP_35C_0-100_0.5/2C_b | SNL_18650_LFP_35C_0-100_0.5-2C_b | snl | LFP | graphite | 35C | 0-100% | 0.5C | 2C | 1.1Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_LFP_35C_0-100_0.5/2C_b | SNL_18650_LFP_35C_0-100_0.5-2C_b | snl | LFP | graphite | 35C | 0-100% | 0.5C | 2C | 1.1Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:25.988112+00:00] Fetch failed for SNL_18650_NCA_15C_0-100_0.5/1C_a | SNL_18650_NCA_15C_0-100_0.5-1C_a | snl | NCA | graphite | 15C | 0-100% | 0.5C | 1C | 3.2Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_NCA_15C_0-100_0.5/1C_a | SNL_18650_NCA_15C_0-100_0.5-1C_a | snl | NCA | graphite | 15C | 0-100% | 0.5C | 1C | 3.2Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:26.189009+00:00] Fetch failed for SNL_18650_NCA_15C_0-100_0.5/1C_b | SNL_18650_NCA_15C_0-100_0.5-1C_b | snl | NCA | graphite | 15C | 0-100% | 0.5C | 1C | 3.2Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_NCA_15C_0-100_0.5/1C_b | SNL_18650_NCA_15C_0-100_0.5-1C_b | snl | NCA | graphite | 15C | 0-100% | 0.5C | 1C | 3.2Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:26.389832+00:00] Fetch failed for SNL_18650_NCA_15C_0-100_0.5/2C_a | SNL_18650_NCA_15C_0-100_0.5-2C_a | snl | NCA | graphite | 15C | 0-100% | 0.5C | 2C | 3.2Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_NCA_15C_0-100_0.5/2C_a | SNL_18650_NCA_15C_0-100_0.5-2C_a | snl | NCA | graphite | 15C | 0-100% | 0.5C | 2C | 3.2Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:26.590469+00:00] Fetch failed for SNL_18650_NCA_15C_0-100_0.5/2C_b | SNL_18650_NCA_15C_0-100_0.5-2C_b | snl | NCA | graphite | 15C | 0-100% | 0.5C | 2C | 3.2Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_NCA_15C_0-100_0.5/2C_b | SNL_18650_NCA_15C_0-100_0.5-2C_b | snl | NCA | graphite | 15C | 0-100% | 0.5C | 2C | 3.2Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:26.791120+00:00] Fetch failed for SNL_18650_NCA_25C_0-100_0.5/0.5C_a | SNL_18650_NCA_25C_0-100_0.5-0.5C_a | snl | NCA | graphite | 25C | 0-100% | 0.5C | 0.5C | 3.2Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_NCA_25C_0-100_0.5/0.5C_a | SNL_18650_NCA_25C_0-100_0.5-0.5C_a | snl | NCA | graphite | 25C | 0-100% | 0.5C | 0.5C | 3.2Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:26.991805+00:00] Fetch failed for SNL_18650_NCA_25C_0-100_0.5/0.5C_b | SNL_18650_NCA_25C_0-100_0.5-0.5C_b | snl | NCA | graphite | 25C | 0-100% | 0.5C | 0.5C | 3.2Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_NCA_25C_0-100_0.5/0.5C_b | SNL_18650_NCA_25C_0-100_0.5-0.5C_b | snl | NCA | graphite | 25C | 0-100% | 0.5C | 0.5C | 3.2Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:27.192456+00:00] Fetch failed for SNL_18650_NCA_25C_0-100_0.5/1C_a | SNL_18650_NCA_25C_0-100_0.5-1C_a | snl | NCA | graphite | 25C | 0-100% | 0.5C | 1C | 3.2Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_NCA_25C_0-100_0.5/1C_a | SNL_18650_NCA_25C_0-100_0.5-1C_a | snl | NCA | graphite | 25C | 0-100% | 0.5C | 1C | 3.2Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:27.393083+00:00] Fetch failed for SNL_18650_NCA_25C_0-100_0.5/1C_b | SNL_18650_NCA_25C_0-100_0.5-1C_b | snl | NCA | graphite | 25C | 0-100% | 0.5C | 1C | 3.2Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_NCA_25C_0-100_0.5/1C_b | SNL_18650_NCA_25C_0-100_0.5-1C_b | snl | NCA | graphite | 25C | 0-100% | 0.5C | 1C | 3.2Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:27.594229+00:00] Fetch failed for SNL_18650_NCA_25C_0-100_0.5/1C_c | SNL_18650_NCA_25C_0-100_0.5-1C_c | snl | NCA | graphite | 25C | 0-100% | 0.5C | 1C | 3.2Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_NCA_25C_0-100_0.5/1C_c | SNL_18650_NCA_25C_0-100_0.5-1C_c | snl | NCA | graphite | 25C | 0-100% | 0.5C | 1C | 3.2Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:27.795142+00:00] Fetch failed for SNL_18650_NCA_25C_0-100_0.5/1C_d | SNL_18650_NCA_25C_0-100_0.5-1C_d | snl | NCA | graphite | 25C | 0-100% | 0.5C | 1C | 3.2Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_NCA_25C_0-100_0.5/1C_d | SNL_18650_NCA_25C_0-100_0.5-1C_d | snl | NCA | graphite | 25C | 0-100% | 0.5C | 1C | 3.2Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:27.996075+00:00] Fetch failed for SNL_18650_NCA_25C_0-100_0.5/2C_a | SNL_18650_NCA_25C_0-100_0.5-2C_a | snl | NCA | graphite | 25C | 0-100% | 0.5C | 2C | 3.2Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_NCA_25C_0-100_0.5/2C_a | SNL_18650_NCA_25C_0-100_0.5-2C_a | snl | NCA | graphite | 25C | 0-100% | 0.5C | 2C | 3.2Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:28.197070+00:00] Fetch failed for SNL_18650_NCA_25C_0-100_0.5/2C_b | SNL_18650_NCA_25C_0-100_0.5-2C_b | snl | NCA | graphite | 25C | 0-100% | 0.5C | 2C | 3.2Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_NCA_25C_0-100_0.5/2C_b | SNL_18650_NCA_25C_0-100_0.5-2C_b | snl | NCA | graphite | 25C | 0-100% | 0.5C | 2C | 3.2Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:28.397448+00:00] Fetch failed for SNL_18650_NCA_25C_20-80_0.5/0.5C_a | SNL_18650_NCA_25C_20-80_0.5-0.5C_a | snl | NCA | graphite | 25C | 20-80% | 0.5C | 0.5C | 3.2Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_NCA_25C_20-80_0.5/0.5C_a | SNL_18650_NCA_25C_20-80_0.5-0.5C_a | snl | NCA | graphite | 25C | 20-80% | 0.5C | 0.5C | 3.2Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:28.598130+00:00] Fetch failed for SNL_18650_NCA_25C_20-80_0.5/0.5C_b | SNL_18650_NCA_25C_20-80_0.5-0.5C_b | snl | NCA | graphite | 25C | 20-80% | 0.5C | 0.5C | 3.2Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_NCA_25C_20-80_0.5/0.5C_b | SNL_18650_NCA_25C_20-80_0.5-0.5C_b | snl | NCA | graphite | 25C | 20-80% | 0.5C | 0.5C | 3.2Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:28.798461+00:00] Fetch failed for SNL_18650_NCA_25C_20-80_0.5/0.5C_c | SNL_18650_NCA_25C_20-80_0.5-0.5C_c | snl | NCA | graphite | 25C | 20-80% | 0.5C | 0.5C | 3.2Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_NCA_25C_20-80_0.5/0.5C_c | SNL_18650_NCA_25C_20-80_0.5-0.5C_c | snl | NCA | graphite | 25C | 20-80% | 0.5C | 0.5C | 3.2Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:28.998893+00:00] Fetch failed for SNL_18650_NCA_25C_20-80_0.5/0.5C_d | SNL_18650_NCA_25C_20-80_0.5-0.5C_d | snl | NCA | graphite | 25C | 20-80% | 0.5C | 0.5C | 3.2Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_NCA_25C_20-80_0.5/0.5C_d | SNL_18650_NCA_25C_20-80_0.5-0.5C_d | snl | NCA | graphite | 25C | 20-80% | 0.5C | 0.5C | 3.2Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:29.199484+00:00] Fetch failed for SNL_18650_NCA_25C_40-60_0.5/0.5C_a | SNL_18650_NCA_25C_40-60_0.5-0.5C_a | snl | NCA | graphite | 25C | 40-60% | 0.5C | 0.5C | 3.2Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_NCA_25C_40-60_0.5/0.5C_a | SNL_18650_NCA_25C_40-60_0.5-0.5C_a | snl | NCA | graphite | 25C | 40-60% | 0.5C | 0.5C | 3.2Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:29.400311+00:00] Fetch failed for SNL_18650_NCA_25C_40-60_0.5/0.5C_b | SNL_18650_NCA_25C_40-60_0.5-0.5C_b | snl | NCA | graphite | 25C | 40-60% | 0.5C | 0.5C | 3.2Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_NCA_25C_40-60_0.5/0.5C_b | SNL_18650_NCA_25C_40-60_0.5-0.5C_b | snl | NCA | graphite | 25C | 40-60% | 0.5C | 0.5C | 3.2Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:29.601146+00:00] Fetch failed for SNL_18650_NCA_35C_0-100_0.5/1C_a | SNL_18650_NCA_35C_0-100_0.5-1C_a | snl | NCA | graphite | 35C | 0-100% | 0.5C | 1C | 3.2Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_NCA_35C_0-100_0.5/1C_a | SNL_18650_NCA_35C_0-100_0.5-1C_a | snl | NCA | graphite | 35C | 0-100% | 0.5C | 1C | 3.2Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:29.802012+00:00] Fetch failed for SNL_18650_NCA_35C_0-100_0.5/1C_b | SNL_18650_NCA_35C_0-100_0.5-1C_b | snl | NCA | graphite | 35C | 0-100% | 0.5C | 1C | 3.2Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_NCA_35C_0-100_0.5/1C_b | SNL_18650_NCA_35C_0-100_0.5-1C_b | snl | NCA | graphite | 35C | 0-100% | 0.5C | 1C | 3.2Ah | 18650_cycle_data.csv' (found at least ' ')
